gene,abbr
ZDB-GENE-041111-135,im:7141280
ZDB-GENE-050208-130,im:7141291
ZDB-GENE-041111-136,im:7141313
ZDB-GENE-041008-217,im:7141344
ZDB-GENE-041111-137,im:7141374
ZDB-GENE-041111-138,im:7141407
ZDB-GENE-041111-140,im:7141573
ZDB-GENE-041111-141,im:7141599
ZDB-GENE-041111-142,im:7141636
ZDB-GENE-050309-31,im:7141661
ZDB-GENE-041111-144,im:7141747
ZDB-GENE-041111-145,im:7141803
ZDB-GENE-041111-146,im:7141867
ZDB-GENE-041111-147,im:7141876
ZDB-GENE-050411-39,im:7141899
ZDB-GENE-050411-40,im:7141911
ZDB-GENE-041111-148,im:7141962
ZDB-GENE-041111-149,im:7141979
ZDB-GENE-041008-228,im:7141999
ZDB-GENE-050411-42,im:7142016
ZDB-GENE-041111-151,im:7142023
ZDB-GENE-050411-43,im:7142052
ZDB-GENE-050208-134,im:7142102
ZDB-GENE-041111-152,im:7142157
ZDB-GENE-041008-232,im:7142180
ZDB-GENE-041111-154,im:7142244
ZDB-GENE-041111-155,im:7142250
ZDB-GENE-050309-33,im:7142271
ZDB-GENE-041111-156,im:7142297
ZDB-GENE-050411-46,im:7142435
ZDB-GENE-041111-157,im:7142467
ZDB-GENE-041111-158,im:7142471
ZDB-GENE-041111-159,im:7142500
ZDB-GENE-041111-160,im:7142525
ZDB-GENE-050411-47,im:7142644
ZDB-GENE-050309-35,im:7142667
ZDB-GENE-050309-36,im:7142701
ZDB-GENE-041111-165,im:7142727
ZDB-GENE-041111-167,im:7142796
ZDB-GENE-041111-168,im:7142802
ZDB-GENE-050309-37,im:7142834
ZDB-GENE-050411-49,im:7142863
ZDB-GENE-050411-50,im:7142864
ZDB-GENE-041111-170,im:7142874
ZDB-GENE-050411-51,im:7142877
ZDB-GENE-050208-141,im:7142923
ZDB-GENE-041111-177,im:7143037
ZDB-GENE-041111-181,im:7143173
ZDB-GENE-050208-144,im:7143216
ZDB-GENE-050506-119,im:7143247
ZDB-GENE-050208-145,im:7143253
ZDB-GENE-041111-184,im:7143292
ZDB-GENE-041111-186,im:7143333
ZDB-GENE-050208-146,im:7143346
ZDB-GENE-050208-147,im:7143434
ZDB-GENE-050506-120,im:7143487
ZDB-GENE-041111-199,im:7144081
ZDB-GENE-050208-151,im:7144129
ZDB-GENE-050208-152,im:7144198
ZDB-GENE-050208-153,im:7144206
ZDB-GENE-041111-202,im:7144219
ZDB-GENE-050208-154,im:7144229
ZDB-GENE-050506-122,im:7144236
ZDB-GENE-050208-157,im:7144260
ZDB-GENE-050506-123,im:7144261
ZDB-GENE-041111-208,im:7144269
ZDB-GENE-050208-158,im:7144283
ZDB-GENE-050208-159,im:7144297
ZDB-GENE-050208-160,im:7144351
ZDB-GENE-050208-161,im:7144374
ZDB-GENE-050208-163,im:7144432
ZDB-GENE-050208-164,im:7144447
ZDB-GENE-050208-166,im:7144531
ZDB-GENE-050208-167,im:7144534
ZDB-GENE-050208-168,im:7144578
ZDB-GENE-050208-169,im:7144580
ZDB-GENE-041111-220,im:7144602
ZDB-GENE-050208-170,im:7144620
ZDB-GENE-050208-172,im:7144687
ZDB-GENE-050208-173,im:7144688
ZDB-GENE-050208-174,im:7144689
ZDB-GENE-050208-176,im:7144773
ZDB-GENE-050506-124,im:7144813
ZDB-GENE-050208-178,im:7144816
ZDB-GENE-050208-179,im:7144835
ZDB-GENE-050506-125,im:7144838
ZDB-GENE-050208-180,im:7144850
ZDB-GENE-050208-182,im:7144880
ZDB-GENE-041111-224,im:7144892
ZDB-GENE-050208-183,im:7144895
ZDB-GENE-050208-184,im:7144930
ZDB-GENE-050208-186,im:7144989
ZDB-GENE-050506-126,im:7145019
ZDB-GENE-050506-127,im:7145044
ZDB-GENE-050208-188,im:7145046
ZDB-GENE-050208-189,im:7145058
ZDB-GENE-050208-190,im:7145063
ZDB-GENE-050208-191,im:7145069
ZDB-GENE-050208-192,im:7145103
ZDB-GENE-050208-193,im:7145111
ZDB-GENE-050208-194,im:7145115
ZDB-GENE-050208-195,im:7145231
ZDB-GENE-050208-196,im:7145248
ZDB-GENE-050208-197,im:7145289
ZDB-GENE-050208-198,im:7145328
ZDB-GENE-050208-199,im:7145347
ZDB-GENE-050208-200,im:7145375
ZDB-GENE-050208-201,im:7145408
ZDB-GENE-050208-202,im:7145411
ZDB-GENE-050208-203,im:7145414
ZDB-GENE-050208-204,im:7145416
ZDB-GENE-050208-205,im:7145474
ZDB-GENE-050208-206,im:7145497
ZDB-GENE-050208-207,im:7145502
ZDB-GENE-050208-208,im:7145520
ZDB-GENE-050208-209,im:7145523
ZDB-GENE-041111-238,im:7145526
ZDB-GENE-041111-245,im:7145733
ZDB-GENE-050208-212,im:7145767
ZDB-GENE-050208-213,im:7145774
ZDB-GENE-050309-57,im:7145799
ZDB-GENE-050208-214,im:7145820
ZDB-GENE-050208-215,im:7145846
ZDB-GENE-050208-216,im:7145850
ZDB-GENE-050208-217,im:7145865
ZDB-GENE-050208-218,im:7145874
ZDB-GENE-050506-135,im:7145949
ZDB-GENE-050208-219,im:7145953
ZDB-GENE-050208-220,im:7145975
ZDB-GENE-050208-223,im:7146137
ZDB-GENE-050208-224,im:7146140
ZDB-GENE-050208-226,im:7146192
ZDB-GENE-050208-228,im:7146215
ZDB-GENE-050208-230,im:7146246
ZDB-GENE-050208-234,im:7146308
ZDB-GENE-050208-238,im:7146417
ZDB-GENE-050208-239,im:7146436
ZDB-GENE-060810-20,im:7146467
ZDB-GENE-050208-242,im:7146620
ZDB-GENE-050208-245,im:7146708
ZDB-GENE-050208-246,im:7146717
ZDB-GENE-050208-247,im:7146724
ZDB-GENE-050208-248,im:7146765
ZDB-GENE-050208-250,im:7146796
ZDB-GENE-050208-252,im:7146822
ZDB-GENE-060810-21,im:7146844
ZDB-GENE-050208-253,im:7146852
ZDB-GENE-050208-259,im:7147002
ZDB-GENE-050208-260,im:7147008
ZDB-GENE-050208-264,im:7147070
ZDB-GENE-050208-267,im:7147172
ZDB-GENE-050208-268,im:7147178
ZDB-GENE-050208-269,im:7147192
ZDB-GENE-050208-271,im:7147207
ZDB-GENE-050208-277,im:7147325
ZDB-GENE-050208-279,im:7147376
ZDB-GENE-050506-139,im:7147406
ZDB-GENE-050506-140,im:7147407
ZDB-GENE-050208-282,im:7147422
ZDB-GENE-050208-286,im:7147486
ZDB-GENE-050208-289,im:7147555
ZDB-GENE-060810-24,im:7147630
ZDB-GENE-050208-293,im:7147634
ZDB-GENE-050208-294,im:7147667
ZDB-GENE-050208-295,im:7147685
ZDB-GENE-050208-297,im:7147696
ZDB-GENE-050208-298,im:7147751
ZDB-GENE-050208-300,im:7147808
ZDB-GENE-050208-303,im:7147827
ZDB-GENE-050208-305,im:7147841
ZDB-GENE-050506-145,im:7147876
ZDB-GENE-050208-307,im:7147916
ZDB-GENE-050208-309,im:7147977
ZDB-GENE-050208-311,im:7147990
ZDB-GENE-050208-314,im:7148143
ZDB-GENE-050208-315,im:7148182
ZDB-GENE-080225-4,im:7148223
ZDB-GENE-050309-68,im:7148329
ZDB-GENE-050208-318,im:7148352
ZDB-GENE-050208-320,im:7148363
ZDB-GENE-050309-71,im:7148382
ZDB-GENE-050309-72,im:7148385
ZDB-GENE-050309-75,im:7148405
ZDB-GENE-060810-27,im:7148428
ZDB-GENE-050309-77,im:7148482
ZDB-GENE-060810-30,im:7148532
ZDB-GENE-050309-81,im:7148721
ZDB-GENE-050309-82,im:7148745
ZDB-GENE-050309-83,im:7148767
ZDB-GENE-080917-5,im:7148882
ZDB-GENE-050309-92,im:7148891
ZDB-GENE-050309-93,im:7148895
ZDB-GENE-080225-5,im:7148949
ZDB-GENE-050309-97,im:7148996
ZDB-GENE-050309-98,im:7149006
ZDB-GENE-041111-254,im:7149028
ZDB-GENE-041111-256,im:7149055
ZDB-GENE-050309-104,im:7149144
ZDB-GENE-050809-18,im:7149159
ZDB-GENE-050309-105,im:7149171
ZDB-GENE-050309-107,im:7149208
ZDB-GENE-050309-108,im:7149212
ZDB-GENE-050309-110,im:7149282
ZDB-GENE-050506-155,im:7149285
ZDB-GENE-050309-111,im:7149306
ZDB-GENE-050309-112,im:7149312
ZDB-GENE-050309-113,im:7149320
ZDB-GENE-080225-8,im:7149347
ZDB-GENE-050506-156,im:7149385
ZDB-GENE-050309-114,im:7149393
ZDB-GENE-050309-117,im:7149483
ZDB-GENE-050309-119,im:7149561
ZDB-GENE-050309-121,im:7149592
ZDB-GENE-050309-126,im:7149845
ZDB-GENE-050309-129,im:7149884
ZDB-GENE-050309-130,im:7149921
ZDB-GENE-050309-132,im:7149939
ZDB-GENE-060810-35,im:7150023
ZDB-GENE-050309-134,im:7150190
ZDB-GENE-050309-135,im:7150194
ZDB-GENE-050309-136,im:7150220
ZDB-GENE-050309-137,im:7150253
ZDB-GENE-050309-138,im:7150256
ZDB-GENE-050309-139,im:7150265
ZDB-GENE-050309-140,im:7150319
ZDB-GENE-050309-142,im:7150352
ZDB-GENE-050309-143,im:7150393
ZDB-GENE-060810-39,im:7150401
ZDB-GENE-060810-42,im:7150531
ZDB-GENE-050309-148,im:7150575
ZDB-GENE-050309-149,im:7150586
ZDB-GENE-050309-151,im:7150652
ZDB-GENE-050309-152,im:7150660
ZDB-GENE-050309-154,im:7150699
ZDB-GENE-050411-65,im:7150721
ZDB-GENE-050309-155,im:7150772
ZDB-GENE-050309-156,im:7150783
ZDB-GENE-050411-68,im:7150798
ZDB-GENE-050309-157,im:7150819
ZDB-GENE-050309-158,im:7150829
ZDB-GENE-050411-69,im:7150836
ZDB-GENE-050309-159,im:7150871
ZDB-GENE-050309-160,im:7150872
ZDB-GENE-050309-161,im:7150880
ZDB-GENE-050309-164,im:7150909
ZDB-GENE-041111-268,im:7150947
ZDB-GENE-041111-269,im:7150973
ZDB-GENE-050309-169,im:7150988
ZDB-GENE-050309-171,im:7151033
ZDB-GENE-050309-172,im:7151038
ZDB-GENE-050309-173,im:7151087
ZDB-GENE-050309-176,im:7151123
ZDB-GENE-050309-177,im:7151135
ZDB-GENE-050309-180,im:7151197
ZDB-GENE-041111-276,im:7151201
ZDB-GENE-050506-158,im:7151228
ZDB-GENE-041111-278,im:7151244
ZDB-GENE-041111-279,im:7151270
ZDB-GENE-050309-185,im:7151289
ZDB-GENE-050309-186,im:7151296
ZDB-GENE-050309-189,im:7151349
ZDB-GENE-050309-190,im:7151359
ZDB-GENE-050309-192,im:7151441
ZDB-GENE-041111-283,im:7151449
ZDB-GENE-041111-284,im:7151460
ZDB-GENE-041111-286,im:7151473
ZDB-GENE-041111-287,im:7151491
ZDB-GENE-041111-289,im:7151561
ZDB-GENE-050309-198,im:7151614
ZDB-GENE-050309-199,im:7151629
ZDB-GENE-050309-200,im:7151640
ZDB-GENE-041111-293,im:7151641
ZDB-GENE-041111-295,im:7151712
ZDB-GENE-050309-204,im:7151735
ZDB-GENE-050309-205,im:7151757
ZDB-GENE-050309-207,im:7151792
ZDB-GENE-041111-297,im:7151811
ZDB-GENE-041111-298,im:7151827
ZDB-GENE-041111-299,im:7151847
ZDB-GENE-041111-301,im:7151910
ZDB-GENE-050309-210,im:7151925
ZDB-GENE-041111-302,im:7151947
ZDB-GENE-050309-211,im:7152047
ZDB-GENE-041111-304,im:7152092
ZDB-GENE-050309-214,im:7152120
ZDB-GENE-050309-215,im:7152121
ZDB-GENE-050309-216,im:7152125
ZDB-GENE-050309-219,im:7152258
ZDB-GENE-050309-220,im:7152285
ZDB-GENE-041111-307,im:7152297
ZDB-GENE-041111-308,im:7152348
ZDB-GENE-050309-221,im:7152399
ZDB-GENE-041111-311,im:7152557
ZDB-GENE-080917-8,im:7152564
ZDB-GENE-050309-224,im:7152565
ZDB-GENE-050309-225,im:7152569
ZDB-GENE-050309-226,im:7152580
ZDB-GENE-050309-227,im:7152592
ZDB-GENE-050309-228,im:7152616
ZDB-GENE-060810-47,im:7152659
ZDB-GENE-050809-21,im:7152662
ZDB-GENE-041111-312,im:7152664
ZDB-GENE-050309-229,im:7152688
ZDB-GENE-050309-230,im:7152743
ZDB-GENE-050309-231,im:7152745
ZDB-GENE-060810-48,im:7152781
ZDB-GENE-080225-10,im:7152855
ZDB-GENE-050309-235,im:7152873
ZDB-GENE-050809-25,im:7152883
ZDB-GENE-050309-238,im:7152898
ZDB-GENE-041111-313,im:7152937
ZDB-GENE-050809-26,im:7152993
ZDB-GENE-050809-27,im:7153029
ZDB-GENE-050309-243,im:7153049
ZDB-GENE-050309-244,im:7153072
ZDB-GENE-050309-245,im:7153077
ZDB-GENE-050309-247,im:7153101
ZDB-GENE-050309-248,im:7153121
ZDB-GENE-041111-316,im:7153128
ZDB-GENE-040914-86,im:7153168
ZDB-GENE-050309-249,im:7153199
ZDB-GENE-050309-250,im:7153242
ZDB-GENE-050309-251,im:7153281
ZDB-GENE-041111-320,im:7153315
ZDB-GENE-041111-321,im:7153380
ZDB-GENE-041111-322,im:7153388
ZDB-GENE-050309-252,im:7153393
ZDB-GENE-050809-36,im:7153413
ZDB-GENE-050309-253,im:7153475
ZDB-GENE-050809-37,im:7153480
ZDB-GENE-050309-254,im:7153498
ZDB-GENE-050309-255,im:7153550
ZDB-GENE-050309-256,im:7153626
ZDB-GENE-050309-257,im:7153653
ZDB-GENE-050309-258,im:7153677
ZDB-GENE-050309-259,im:7153709
ZDB-GENE-050309-260,im:7153740
ZDB-GENE-050309-262,im:7153824
ZDB-GENE-050309-264,im:7153863
ZDB-GENE-050309-266,im:7153902
ZDB-GENE-050809-46,im:7154008
ZDB-GENE-050309-269,im:7154101
ZDB-GENE-041111-323,im:7154102
ZDB-GENE-050309-270,im:7154105
ZDB-GENE-050809-49,im:7154127
ZDB-GENE-050309-271,im:7154140
ZDB-GENE-050309-273,im:7154187
ZDB-GENE-050309-274,im:7154264
ZDB-GENE-050309-275,im:7154308
ZDB-GENE-041111-326,im:7154364
ZDB-GENE-041111-327,im:7154426
ZDB-GENE-050809-51,im:7154450
ZDB-GENE-050411-74,im:7154464
ZDB-GENE-050309-278,im:7154491
ZDB-GENE-050411-75,im:7154525
ZDB-GENE-050411-76,im:7154539
ZDB-GENE-050411-77,im:7154612
ZDB-GENE-041111-330,im:7154686
ZDB-GENE-050506-159,im:7154736
ZDB-GENE-080917-17,im:7154813
ZDB-GENE-050411-78,im:7154819
ZDB-GENE-050411-79,im:7154852
ZDB-GENE-050411-80,im:7154883
ZDB-GENE-050309-279,im:7154934
ZDB-GENE-080917-22,im:7154964
ZDB-GENE-050411-81,im:7154979
ZDB-GENE-050309-280,im:7155004
ZDB-GENE-050411-82,im:7155026
ZDB-GENE-050411-85,im:7155126
ZDB-GENE-050309-282,im:7155186
ZDB-GENE-050411-87,im:7155206
ZDB-GENE-050411-89,im:7155485
ZDB-GENE-050309-285,im:7155498
ZDB-GENE-050411-90,im:7155506
ZDB-GENE-050309-286,im:7155584
ZDB-GENE-050411-92,im:7155599
ZDB-GENE-050411-93,im:7155606
ZDB-GENE-050411-94,im:7155666
ZDB-GENE-050309-287,im:7155668
ZDB-GENE-050411-96,im:7155685
ZDB-GENE-050411-97,im:7155703
ZDB-GENE-050309-288,im:7155857
ZDB-GENE-050411-99,im:7155863
ZDB-GENE-050411-100,im:7155904
ZDB-GENE-050411-102,im:7155955
ZDB-GENE-050411-103,im:7155962
ZDB-GENE-050411-105,im:7156043
ZDB-GENE-050411-106,im:7156128
ZDB-GENE-050411-107,im:7156217
ZDB-GENE-050411-108,im:7156246
ZDB-GENE-050411-109,im:7156351
ZDB-GENE-050411-111,im:7156390
ZDB-GENE-050309-291,im:7156469
ZDB-GENE-050411-114,im:7156524
ZDB-GENE-050411-115,im:7156563
ZDB-GENE-050411-116,im:7156564
ZDB-GENE-050411-117,im:7156572
ZDB-GENE-050411-120,im:7156665
ZDB-GENE-050411-121,im:7156696
ZDB-GENE-050411-122,im:7156715
ZDB-GENE-050411-123,im:7156725
ZDB-GENE-050309-292,im:7156727
ZDB-GENE-050411-125,im:7156744
ZDB-GENE-050411-127,im:7156753
ZDB-GENE-050309-293,im:7156792
ZDB-GENE-050411-129,im:7156802
ZDB-GENE-080225-23,im:7156958
ZDB-GENE-060810-76,im:7157334
ZDB-GENE-060810-83,im:7157749
ZDB-GENE-050809-52,im:7157816
ZDB-GENE-050809-53,im:7157825
ZDB-GENE-050809-54,im:7157844
ZDB-GENE-050809-55,im:7157854
ZDB-GENE-060810-85,im:7157867
ZDB-GENE-050809-57,im:7157892
ZDB-GENE-060810-87,im:7157920
ZDB-GENE-060810-89,im:7157997
ZDB-GENE-050809-58,im:7158008
ZDB-GENE-050809-59,im:7158100
ZDB-GENE-080225-29,im:7158134
ZDB-GENE-060810-95,im:7158176
ZDB-GENE-050809-61,im:7158194
ZDB-GENE-060810-97,im:7158240
ZDB-GENE-050809-62,im:7158320
ZDB-GENE-060810-101,im:7158321
ZDB-GENE-060810-102,im:7158329
ZDB-GENE-050809-63,im:7158335
ZDB-GENE-050809-64,im:7158358
ZDB-GENE-050809-66,im:7158410
ZDB-GENE-050809-68,im:7158467
ZDB-GENE-060810-105,im:7158469
ZDB-GENE-060810-106,im:7158479
ZDB-GENE-050809-69,im:7158499
ZDB-GENE-060810-108,im:7158514
ZDB-GENE-060810-109,im:7158532
ZDB-GENE-060810-110,im:7158535
ZDB-GENE-060810-111,im:7158540
ZDB-GENE-080917-30,im:7158804
ZDB-GENE-060810-120,im:7158976
ZDB-GENE-080225-37,im:7158978
ZDB-GENE-060810-121,im:7159004
ZDB-GENE-060810-123,im:7159022
ZDB-GENE-060810-124,im:7159036
ZDB-GENE-060810-126,im:7159068
ZDB-GENE-060810-128,im:7159100
ZDB-GENE-060810-129,im:7159118
ZDB-GENE-060810-130,im:7159143
ZDB-GENE-060810-131,im:7159184
ZDB-GENE-050809-72,im:7159197
ZDB-GENE-050809-74,im:7159229
ZDB-GENE-060810-134,im:7159260
ZDB-GENE-050809-75,im:7159271
ZDB-GENE-050809-76,im:7159291
ZDB-GENE-050809-77,im:7159318
ZDB-GENE-050809-78,im:7159387
ZDB-GENE-080917-33,im:7159451
ZDB-GENE-050809-80,im:7159495
ZDB-GENE-080917-34,im:7159538
ZDB-GENE-080917-35,im:7159607
ZDB-GENE-060810-145,im:7159639
ZDB-GENE-080917-36,im:7159667
ZDB-GENE-080917-37,im:7159684
ZDB-GENE-080917-39,im:7159868
ZDB-GENE-050809-83,im:7159881
ZDB-GENE-050809-84,im:7159928
ZDB-GENE-050809-85,im:7159935
ZDB-GENE-080917-40,im:7160065
ZDB-GENE-050809-86,im:7160081
ZDB-GENE-050809-87,im:7160088
ZDB-GENE-060810-150,im:7160147
ZDB-GENE-050809-89,im:7160157
ZDB-GENE-050809-91,im:7160198
ZDB-GENE-060810-151,im:7160215
ZDB-GENE-050809-92,im:7160219
ZDB-GENE-050809-93,im:7160231
ZDB-GENE-050809-94,im:7160270
ZDB-GENE-050809-96,im:7160289
ZDB-GENE-050809-97,im:7160328
ZDB-GENE-050809-98,im:7160334
ZDB-GENE-060810-153,im:7160358
ZDB-GENE-060810-154,im:7160415
ZDB-GENE-060810-155,im:7160421
ZDB-GENE-050809-102,im:7160426
ZDB-GENE-060810-156,im:7160493
ZDB-GENE-060810-157,im:7160566
ZDB-GENE-080225-41,im:7160636
ZDB-GENE-060810-171,im:7162296
ZDB-GENE-060810-175,im:7162727
ZDB-GENE-090218-28,im:7163280
ZDB-GENE-060810-181,im:7163374
ZDB-GENE-080917-48,im:7165230
ZDB-GENE-050302-1,im:7450916
ZDB-GENE-070522-4,immp1l
ZDB-GENE-040808-9,immp2l
ZDB-GENE-030131-5417,immt
ZDB-GENE-070117-1259,imo
ZDB-GENE-210324-15,imoo
ZDB-GENE-040426-1062,imp3
ZDB-GENE-040718-474,imp4
ZDB-GENE-040718-245,impa1
ZDB-GENE-050522-349,impa2
ZDB-GENE-040927-10,impact
ZDB-GENE-040704-15,impdh1a
ZDB-GENE-030219-206,impdh1b
ZDB-GENE-030114-5,impdh2
ZDB-GENE-070424-197,impg1a
ZDB-GENE-101007-1,impg1b
ZDB-GENE-140106-217,impg2a
ZDB-GENE-081031-56,impg2b
ZDB-GENE-060531-65,inaa
ZDB-GENE-990415-83,inab
ZDB-GENE-081105-161,inavaa
ZDB-GENE-061103-190,inavab
ZDB-GENE-031116-23,incenp
ZDB-GENE-070117-2131,ind
ZDB-GENE-180117-1,indc
ZDB-GENE-140711-5,inf2
ZDB-GENE-060421-4388,ing1
ZDB-GENE-040718-147,ing2
ZDB-GENE-040109-3,ing3
ZDB-GENE-050522-47,ing4
ZDB-GENE-031016-1,ing5a
ZDB-GENE-030616-462,ing5b
ZDB-GENE-060503-554,inha
ZDB-GENE-000210-21,inhbaa
ZDB-GENE-050525-2,inhbab
ZDB-GENE-990415-2,inhbb
ZDB-GENE-070117-696,ini
ZDB-GENE-040426-961,inip
ZDB-GENE-060512-186,inka1a
ZDB-GENE-030131-5539,inka1b
ZDB-GENE-091230-4,inka2
ZDB-GENE-041014-72,ino80
ZDB-GENE-061013-69,ino80b
ZDB-GENE-040625-97,ino80c
ZDB-GENE-091204-416,ino80da
ZDB-GENE-070112-2072,ino80db
ZDB-GENE-040426-1818,ino80e
ZDB-GENE-060312-5,inpp4aa
ZDB-GENE-081104-521,inpp4ab
ZDB-GENE-090312-97,inpp4b
ZDB-GENE-110930-10,inpp5a
ZDB-GENE-110411-228,inpp5b
ZDB-GENE-100922-30,inpp5d
ZDB-GENE-050809-23,inpp5e
ZDB-GENE-041111-194,inpp5f
ZDB-GENE-091117-4,inpp5ja
ZDB-GENE-081104-46,inpp5jb
ZDB-GENE-070410-101,inpp5ka
ZDB-GENE-100408-3,inpp5kb
ZDB-GENE-051127-29,inpp5l
ZDB-GENE-030131-3904,inppl1a
ZDB-GENE-030616-75,inppl1b
ZDB-GENE-980526-110,ins
ZDB-GENE-040113-2,insb
ZDB-GENE-030131-6121,insig1
ZDB-GENE-040202-1,insig2
ZDB-GENE-050310-5,insl3
ZDB-GENE-050310-4,insl5a
ZDB-GENE-070122-5,insl5b
ZDB-GENE-040426-1810,insm1a
ZDB-GENE-030131-2602,insm1b
ZDB-GENE-100618-3,insm2
ZDB-GENE-020503-3,insra
ZDB-GENE-020503-4,insrb
ZDB-GENE-030131-8029,insyn1
ZDB-GENE-130613-7,insyn2aa
ZDB-GENE-120709-85,insyn2ab
ZDB-GENE-111017-3,insyn2b
ZDB-GENE-080317-5,int
ZDB-GENE-030131-6523,ints1
ZDB-GENE-050522-2,ints10
ZDB-GENE-050522-13,ints11
ZDB-GENE-040625-178,ints12
ZDB-GENE-030131-6224,ints13
ZDB-GENE-030131-5804,ints14
ZDB-GENE-040426-1019,ints15
ZDB-GENE-050522-148,ints2
ZDB-GENE-060503-634,ints3
ZDB-GENE-120215-81,ints4
ZDB-GENE-090908-2,ints5
ZDB-GENE-070906-1,ints6
ZDB-GENE-040426-1150,ints6l
ZDB-GENE-021220-6,ints7
ZDB-GENE-050522-556,ints8
ZDB-GENE-061013-129,ints9
ZDB-GENE-110914-91,intu
ZDB-GENE-020507-2,invs
ZDB-GENE-110317-2,ip6k1
ZDB-GENE-030131-760,ip6k2a
ZDB-GENE-040718-85,ip6k2b
ZDB-GENE-060929-172,ipcef1
ZDB-GENE-090312-161,ipmka
ZDB-GENE-061215-5,ipmkb
ZDB-GENE-040711-1,ipo11
ZDB-GENE-130530-816,ipo13a
ZDB-GENE-070706-1,ipo13b
ZDB-GENE-041014-307,ipo4
ZDB-GENE-030131-458,ipo7
ZDB-GENE-060503-3,ipo8
ZDB-GENE-040426-2953,ipo9
ZDB-GENE-080204-28,ipp
ZDB-GENE-050327-41,ippk
ZDB-GENE-050208-768,iqca1
ZDB-GENE-041212-47,iqcb1
ZDB-GENE-090313-325,iqcc
ZDB-GENE-060526-200,iqcd
ZDB-GENE-090312-217,iqce
ZDB-GENE-050419-109,iqcg
ZDB-GENE-050419-242,iqch
ZDB-GENE-081022-109,iqck
ZDB-GENE-050809-24,iqgap1
ZDB-GENE-030131-2878,iqgap2
ZDB-GENE-160226-1,iqgap3
ZDB-GENE-120813-2,iqsec1a
ZDB-GENE-120813-1,iqsec1b
ZDB-GENE-170302-3,iqsec2a
ZDB-GENE-081105-73,iqsec2b
ZDB-GENE-041210-343,iqsec3a
ZDB-GENE-050420-210,iqsec3b
ZDB-GENE-110421-1,iqub
ZDB-GENE-071116-5,irak1
ZDB-GENE-050522-272,irak1bp1
ZDB-GENE-060503-710,irak3
ZDB-GENE-040426-738,irak4
ZDB-GENE-150701-2,irbl
ZDB-GENE-070301-4,irbpl
ZDB-GENE-051205-1,ireb2
ZDB-GENE-040426-2084,irf10
ZDB-GENE-060421-4031,irf1a
ZDB-GENE-041114-13,irf1b
ZDB-GENE-030131-4135,irf2a
ZDB-GENE-041212-38,irf2b
ZDB-GENE-050420-389,irf2bp1
ZDB-GENE-030131-7809,irf2bp2a
ZDB-GENE-040426-2574,irf2bp2b
ZDB-GENE-040426-1968,irf2bpl
ZDB-GENE-071120-7,irf3
ZDB-GENE-070912-330,irf4a
ZDB-GENE-041001-131,irf4b
ZDB-GENE-071120-1,irf4l
ZDB-GENE-040426-2587,irf5
ZDB-GENE-040426-1137,irf6
ZDB-GENE-040426-1518,irf7
ZDB-GENE-040718-367,irf8
ZDB-GENE-040912-165,irf9
ZDB-GENE-061103-301,irg1l
ZDB-GENE-051209-1,irge1
ZDB-GENE-100713-4,irge2
ZDB-GENE-051212-1,irge3
ZDB-GENE-051212-2,irge4
ZDB-GENE-100713-1,irge5
ZDB-GENE-100713-2,irge6
ZDB-GENE-051212-5,irgf1
ZDB-GENE-060503-460,irgf2
ZDB-GENE-051212-6,irgf3
ZDB-GENE-060929-404,irgf4
ZDB-GENE-051212-4,irgg1
ZDB-GENE-051212-3,irgq1
ZDB-GENE-051212-7,irgq2
ZDB-GENE-100719-1,irgq3
ZDB-GENE-070117-685,irr
ZDB-GENE-030131-872,irs1
ZDB-GENE-040426-975,irs2a
ZDB-GENE-081104-462,irs2b
ZDB-GENE-120215-92,irs4a
ZDB-GENE-121106-1,irs4b
ZDB-GENE-040707-1,irx1a
ZDB-GENE-010716-1,irx1b
ZDB-GENE-040426-1446,irx2a
ZDB-GENE-991119-5,irx3a
ZDB-GENE-030131-525,irx3b
ZDB-GENE-040426-1825,irx4a
ZDB-GENE-040712-4,irx4b
ZDB-GENE-010716-2,irx5a
ZDB-GENE-040628-5,irx5b
ZDB-GENE-040712-5,irx6a
ZDB-GENE-020103-1,irx7
ZDB-GENE-050626-94,isca1
ZDB-GENE-131121-486,isca2
ZDB-GENE-040724-36,iscua
ZDB-GENE-050417-332,iscub
ZDB-GENE-021211-1,isg15
ZDB-GENE-100422-17,isg20
ZDB-GENE-070928-8,isg20l2
ZDB-GENE-980526-112,isl1a
ZDB-GENE-040624-1,isl1b
ZDB-GENE-980526-562,isl2a
ZDB-GENE-990415-133,isl2b
ZDB-GENE-050320-95,islr2
ZDB-GENE-050523-3,ism1
ZDB-GENE-130530-972,ism2a
ZDB-GENE-050523-4,ism2b
ZDB-GENE-061020-1,isoc1
ZDB-GENE-070518-1,isoc2
ZDB-GENE-030131-179,ist1
ZDB-GENE-030131-5864,isy1
ZDB-GENE-120919-4,itcha
ZDB-GENE-131024-2,itchb
ZDB-GENE-070117-673,itf
ZDB-GENE-121003-3,itfg1
ZDB-GENE-041008-161,itfg2
ZDB-GENE-091118-115,itga1
ZDB-GENE-100922-54,itga10
ZDB-GENE-050324-1,itga11a
ZDB-GENE-071009-4,itga11b
ZDB-GENE-111011-4,itga2.1
ZDB-GENE-091118-70,itga2.2
ZDB-GENE-091204-176,itga2.3
ZDB-GENE-051031-1,itga2b
